arg1,arg2,relation,connective,type,original_utt,original_utt_prev
i don't think they did.,"after they returned from there next commercial break, she was wearing blazer over it.",contingency,because,begin,"i don't think they did. because after they returned from there next commercial break, she was wearing blazer over it.",They probably disregarded your email.
i hate to ask this ,did the blazer match her outfit?,comparison,but,mid,i hate to ask this but did the blazer match her outfit?,"I don't think they did. Because after they returned from there next commercial break, she was wearing blazer over it."
i sure she was ,"when you go on live tv at the time of day when children are watching  and you are dressed like that, then oh well.",comparison,but,mid,"i sure she was but when you go on live tv at the time of day when children are watching  and you are dressed like that, then oh well.",Lime green? I can't imagine how humiliated she must have felt.
"we should take pride in our appearance, ",overall we need to focus less on appearance and more on the content of the character of the person.,comparison,but,mid,"i sort of agree. we should take pride in our appearance, but overall we need to focus less on appearance and more on the content of the character of the person.","A different trand that I dislike is the trend of wearing sweats, scrubs, yoga pant, leggings or even pajamas constantly. A lot of people don't take any effort to make themselves look nice."
one pair had leather on the front ,they are gorgeous for daytime or night.,contingency,so,mid,"yes, they did. one pair had leather on the front so they are gorgeous for daytime or night.",That's so cool! Did they fit well?
i think they just wore them ,they were cheap.,contingency,because,mid,i think they just wore them because they were cheap.,"Yeah, grunge rockers in Seattle and their flannel shirts."
so do i ,anuschka's hand painted leather bags are so unique.,comparison,but,mid,so do i but anuschka's hand painted leather bags are so unique.,"Yeah, so do I. I really like all of Dooney & Bourkes hand bags."
I really need that bag.,"the white, square shaped one with the butterflies and the short handle.",comparison,but,begin,"but the white, square shaped one with the butterflies and the short handle.",The pretty one with the pink flamingos. I really need that bag.
tell me about it.,the owl looking ones so gorgeous.,comparison,although,begin,yeah. tell me about it. although the owl looking ones so gorgeous.,True. But I refuse to pay that kind of money for what looks like a small box hanging from a strap.
it could just be me ,that doesn't sound like it would be pleasing to the eye.,comparison,but,mid,it could just be me but that doesn't sound like it would be pleasing to the eye.,"Jeans, t-shirt, a dark jacket, heels, some jewelry and a Dior handbag."
"they do, ",they cant keep it up,comparison,but,mid,"they do, but they cant keep it up","Yeah, but hipsters love irony"
they are gorgeous ,of course beyond my budget!,comparison,but,mid,they are gorgeous but of course beyond my budget!,Have you seen some of her rings? They are to die for!
her fashion sense has evolved since then.,she has always been so chic.,comparison,but,begin,all the time. her fashion sense has evolved since then. but she has always been so chic.,"Did you ever watch Lauren on ""The Hills?"""
i wish it did ,it doesn't.,comparison,but,mid,i wish it did but it doesn't.,Does it tie up on the side like the pants?
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
"she did make an impact, ",her look was too much for me.,comparison,but,mid,"she did make an impact, but her look was too much for me. i preferred the simpler looks, like gisele.","I thought that Rihanna looked amazing. She wore the designer being honored, you know."
"I preferred the simpler looks, like Gisele.","the designer is all about crazy looks, and gisele was so boring!",comparison,but,begin,"but the designer is all about crazy looks, and gisele was so boring!","She did make an impact, but her look was too much for me. I preferred the simpler looks, like Gisele."
"i thought zendaya looked amazing--not as outrageous as some, ",her dress made a bold statement.,comparison,but,mid,"i thought zendaya looked amazing--not as outrageous as some, but her dress made a bold statement.",Who were your other favorites?
"she looked like she was wearing a giant sleeping bag, ",it was fun.,comparison,but,mid,"i did! she looked like she was wearing a giant sleeping bag, but it was fun.",That sounds interesting. Did you see Solange?
"well, it depends on the shows i will see ",something beautiful of course.,comparison,but,mid,"well, it depends on the shows i will see but something beautiful of course.",What will you wear?
sometimes i like a newer print ,for the most part i like neutrals and black.,comparison,but,mid,definitely. sometimes i like a newer print but for the most part i like neutrals and black.,"Absolutely, you can never go wrong with classic fashion pieces from the times or Audrey Hepburn or even Marilyn Monroe."
platform sandals look good ,make it hard to walk.,comparison,but,mid,platform sandals look good but make it hard to walk.,They match my shorts also a must.
"definitely would agree with that, many of my friends have worn a peacoat ",in the summer tried the shorter swim trunks popular after casino royale.,expansion,or,mid,"definitely would agree with that, many of my friends have worn a peacoat or in the summer tried the shorter swim trunks popular after casino royale.",I feel like a lot of men like to sometimes copy his style don't you think?
"i haven't seen the list, ",i did see the show.,comparison,but,mid,"i haven't seen the list, but i did see the show. who were the best dressed?",Have you seen the list of The Best and Worst Dressed at the People's Choice Awards 2017?
"jodie sweetin's on the list, too, ",i beg to differ.,comparison,but,mid,"jodie sweetin's on the list, too, but i beg to differ. i think she looked amazing!","And that's not all, she even wore fishnet tights. Talk about topping the list of the worst."
