arg1,arg2,relation,connective,type,original_utt,original_utt_prev
those take a lot of time ,are fun to do.,comparison,but,mid,thanks. those take a lot of time but are fun to do.,Those are great. I love this one you made today.
"yes , the sad part is that , through this new deal the fighter make less money ",on average most of them would bottom out at around eighty thosand a fight for the sponsed gear.,contingency,because,mid,"yes , the sad part is that , through this new deal the fighter make less money because on average most of them would bottom out at around eighty thosand a fight for the sponsed gear.",are you telling me that the fighters no longer have the ability to add sponsers logos on the fight kits ?
"they have two types, in year one it was the fighters name on the shirt ",the name on the shorts with a white on black colors and a triangle accent on the bottom of the fight kit .,expansion,and,mid,"they have two types, in year one it was the fighters name on the shirt and the name on the shorts with a white on black colors and a triangle accent on the bottom of the fight kit .",what do the kits look like ?
"it was based on the same concept , ","now it was more bolder colors instead of the whie acents, entire kits were designed to be yellow or green for brazil and all blue for the nited states .",comparison,but,mid,"it was based on the same concept , but now it was more bolder colors instead of the whie acents, entire kits were designed to be yellow or green for brazil and all blue for the nited states . it basically took more of the white highlights from the first generation and replaced them with black.",what did the second generation look like ?
these are ok ,"not the best design , why is there a monster logo on the champions fight kit ?",comparison,but,mid,"these are ok but not the best design , why is there a monster logo on the champions fight kit ?","yes, take a look !"
thats so unfair ,a really good business play .,comparison,but,mid,thats so unfair but a really good business play .,so the UFC can have hand selected brands to partner with reebok.
i like black ,it's classic.,contingency,because,mid,i like black because it's classic.,Are there colors you prefer?
"i agree, ",have to be careful about quality.,comparison,but,mid,"i agree, but have to be careful about quality.","I have seen so many kind of fashion designs in india, and they are gorgeous."
"may be, ",i saw some on online.,comparison,but,mid,"may be, but i saw some on online. very pretty. you can check it out.",Is there any in jcpenney?
"i don't know how she even walked in heels that high, ",she pulled it off flawlessly!,comparison,but,mid,"they were! i don't know how she even walked in heels that high, but she pulled it off flawlessly!",And Emma Watson! Her shoes were just killer!
"the ladies were the talk of the night, ",i felt like the men did their job as well.,comparison,but,mid,"the ladies were the talk of the night, but i felt like the men did their job as well.",And what were your thoughts on the gentlemen's attire?
"it's a french designer, ",had never heard the name before now.,comparison,but,mid,"it's a french designer, but had never heard the name before now.",Which designer is Candace using for her wedding?
first of all the fabric isn't current ,more of this old fashioned lace.,comparison,but,mid,first of all the fabric isn't current but more of this old fashioned lace.,What is old style about it?
"right, the lines are modern ",not totally clean.,comparison,but,mid,"right, the lines are modern but not totally clean.",So its not like a cleancut Vera Wang type look.
i think they are really cute - ,for a wedding dress?,comparison,but,mid,i think they are really cute - but for a wedding dress? maybe if you were having a beach wedding in hawaii or something like that.,"That's a good point. What do you think of those high-low dresses? I've been seeing them more and more, even with wedding dresses."
well i actually just found them at a gas station ,they fit my face so well.,comparison,but,mid,well i actually just found them at a gas station but they fit my face so well.,Where did you get those shades?
well it may ,you will need to find some matching shoes and accessories,comparison,but,mid,well it may but you will need to find some matching shoes and accessories,Does the pattern match the solid?
"i was think of wearing this watch, i know it makes a statement ",what do you think?,comparison,but,mid,"i was think of wearing this watch, i know it makes a statement but what do you think?",Well it may but you will need to find some matching shoes and accessories
it's sort of beautiful ,has too big of a face for my taste,comparison,but,mid,it's sort of beautiful but has too big of a face for my taste,"I was think of wearing this watch, I know it makes a statement but what do you think?"
i don't know one in this area ,we could always call the fashion police.,comparison,but,mid,i don't know one in this area but we could always call the fashion police. lol,Well can we go to a seamstress?
"i'm not a fan of vintage, ",they definitely pulled it off!,comparison,but,mid,"yes, straight vintage! i'm not a fan of vintage, but they definitely pulled it off!",Did you see the Olsen twins outfits?
"i'm not sure i would wear them, ",seems like everything that has gone out of style eventually come back.,comparison,but,mid,"i'm not sure i would wear them, but seems like everything that has gone out of style eventually come back.","So, I read that bell bottom jeans are coming back in style. What do you think about it?"
"well, you know we both have excellent taste, ",it may be a tad to expensive for our small salaries.,comparison,although,mid,"well, you know we both have excellent taste, although it may be a tad to expensive for our small salaries.","Me too, it's just so hard to find at a decent price."
"i wouldn't say it was the best, ",i think rhianna had the most interesting outfit.,comparison,but,mid,"i wouldn't say it was the best, but i think rhianna had the most interesting outfit. the texture and color was pretty and crazy at the same time!",Who had the best dress at the Met Ball?
"no idea, ","what was the thing on head, was it sprayed in her hair or like a skullcap?",comparison,but,mid,"no idea, but what was the thing on head, was it sprayed in her hair or like a skullcap? i don't know what she was thinking.",What about Cara Delevigne Chanel outfit? All that shiny silvery material. What was it made of?
the red was totally shocking ,the was so much of it.,contingency,because,mid,did you see katy perry in maison margiela? the red was totally shocking because the was so much of it.,"No idea, but what was the thing on head, was it sprayed in her hair or like a skullcap? I don't know what she was thinking."
i'm not sure that was winner ,i did  like the boldness of the red.,comparison,but,mid,"yeah, she almost looked like a ghost and flamigo dancer had a baby. i'm not sure that was winner but i did  like the boldness of the red.",Did you see Katy Perry in Maison Margiela? The red was totally shocking because the was so much of it.
"i would not normally say a bird print would be a good idea, ","i loved zendaya in dolce & gabbana's off the shoulder, full trained dress was gorgeous!",comparison,but,mid,"i would not normally say a bird print would be a good idea, but i loved zendaya in dolce & gabbana's off the shoulder, full trained dress was gorgeous!","Yes, navy is such a good rich classic color. It was great color for her too."
"normally not a fan, too 80's ",this looked really good to me too.,comparison,but,mid,"i know, right? i even like the shade of pink matched with the black. normally not a fan, too 80's but this looked really good to me too.",Laura Osnes reminded of that beautiful blue grey dress that Kerry wore in Sex In The City towards the end. The skirt with all that texture that looks like flowers is so beautiful.
"yeah, that outfit was a bust ",even worst was her make up.,comparison,but,mid,"yeah, that outfit was a bust but even worst was her make up. where did her eyebrows go? normally she looks great, but i guess she was going for ""artsy"" being at the met.",What was Claire Danes thinking? I did not like the weirdly dramatic white top with laced black pants.
"normally she looks great, ","i guess she was going for ""artsy"" being at the met.",comparison,but,mid,"yeah, that outfit was a bust but even worst was her make up. where did her eyebrows go? normally she looks great, but i guess she was going for ""artsy"" being at the met.",What was Claire Danes thinking? I did not like the weirdly dramatic white top with laced black pants.
yeah that was totally weird and unflattering ,i did like the color.,comparison,but,mid,yeah that was totally weird and unflattering but i did like the color. it was almost electric!,It reminded me of Tracee Ellis Ross in Comme des Garcons thing. What was it a bag or a dress or coat?
"i think that mismatched colors can look good, ",sometimes people get a little carried away with the combinations.,comparison,but,mid,"i think that mismatched colors can look good, but sometimes people get a little carried away with the combinations.",I do see that a lot. They wear colors like orange and purple and everyone thinks that it looks good.
